beacontest1,beacontest2,beacontest3,beacontest4,beacontest5,beacontest6,beacontest7,beacontest8,beacontest9,beacontest10,beacontest11,beacontest12,beacontest13,beacontest14,beacontest15,beaocontest16,beaocontest17,beaocontest18,target
-57,-64,-59,-67,-67,-64,-73,-95,-81,-53,-50,-54,-69,-74,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-64,-73,-95,-81,-53,-50,-54,-69,-74,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-64,-73,-95,-81,-53,-50,-54,-69,-74,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-64,-73,-95,-81,-53,-50,-54,-69,-73,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-63,-73,-95,-81,-53,-50,-54,-69,-73,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-63,-73,-95,-81,-53,-50,-54,-69,-73,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-63,-73,-95,-81,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-63,-73,-95,-81,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-63,-73,-95,-81,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
-57,-64,-59,-67,-67,-63,-73,-95,-81,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
-57,-64,-59,-68,-67,-63,-73,-95,-81,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
-57,-64,-59,-68,-67,-63,-73,-95,-81,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
-57,-64,-59,-68,-67,-63,-73,-95,-81,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
-57,-64,-59,-68,-67,-63,-73,-95,-81,-53,-50,-54,-68,-73,-71,-81,-80,-70,51
